업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200525683-00,일반,동물사체(로드킬) 수거처리 용역,경기도 평택시,경기도 평택시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:50(2020/05/26 10:00),
용역,20200525669-00,긴급,영월(도라지마을) 새뜰마을조성사업 2차 주민역량강화 용역,강원도 영월군,강원도 영월군,제한(총액),2020/05/20 18:45(2020/05/26 10:00),
용역,20200525673-00,일반,도시가스 취약지역 공급계획 수립용역,경기도 평택시,경기도 평택시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:45(2020/05/26 10:00),
용역,20200525517-00,일반,2023순천만국제정원박람회 종합실행계획수립 용역(협상에 의한 계약) 재공고,전라남도 순천시,전라남도 순천시,제한(총액)협상에의한계약,2020/05/20 18:39(-),
용역,20200524630-00,일반,운서초 석면철거공사 석면감리용역,인천광역시교육청 인천광역시남부교육지원청,인천광역시교육청 인천광역시남부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:37(2020/05/26 10:00),
용역,20200525577-00,일반,2020 대한민국정원산업박람회 행사대행 용역(협상에 의한 계약) 제안공모 공고,전라남도 순천시,전라남도 순천시,제한(총액)협상에의한계약,2020/05/20 18:35(-),
용역,20200525633-00,일반,토지이동결의서 및 측량결과도 전산 DB 구축 사업,서울특별시 성동구,서울특별시 성동구,제한(총액),2020/05/20 18:34(2020/05/26 14:00),
용역,20200525646-00,일반,춘천 도시기후변화 재해취약성분석 재수립 용역,강원도 춘천시,강원도 춘천시,제한경쟁,2020/05/20 18:33(2020/05/28 10:00),
용역,20200525643-00,긴급,포항시 다목적 행정선 건조사업 기본 및 실시설계 용역,경상북도 포항시,경상북도 포항시,실적,2020/05/20 18:30(2020/06/01 10:00),
용역,20200525636-00,긴급,해금강마을 하수관로 정비사업 폐기물처리용역,경상남도 거제시,경상남도 거제시,제한(총액),2020/05/20 18:29(2020/05/27 10:00),
용역,20200525621-00,일반,미래전장위협에 대응한 스마트 융합기술 전력화 개발추진 전략수립을 위한 정책연구,국방과학연구소,국방과학연구소,제한(총액)규격가격동시,2020/05/20 18:24(2020/06/04 10:00),
용역,20200525583-00,일반,기능연속성계획 구축 컨설팅 용역,충청남도개발공사,충청남도개발공사,일반(총액)협상에의한계약,2020/05/20 18:24(2020/06/03 17:00),
용역,20200523782-00,긴급,광주 종합운동장(주경기장) 건립공사 도시관리계획 결정(변경) 용역,경기도 광주시,경기도 광주시,제한경쟁,2020/05/20 18:23(2020/05/26 10:00),
용역,20200525618-00,일반,"충주시 주택 수요,공급 기본계획 수립용역",충청북도 충주시,충청북도 충주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:20(2020/05/26 10:00),
용역,20200525608-00,일반,남선면 내리소하천 정비공사 폐기물처리용역,경상북도 안동시,경상북도 안동시,제한(총액),2020/05/20 18:19(2020/05/28 12:00),
용역,20200525609-00,일반,충주 비즈코어시티 산업단지 조성사업 특수목적법인 설립 및 출자타당성 검토용역,충청북도 충주시,충청북도 충주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:17(2020/05/26 10:00),
용역,20200525607-00,긴급,이수도 공공하수처리시설 설치공사 폐기물처리용역,경상남도 거제시,경상남도 거제시,제한(총액),2020/05/20 18:17(2020/05/27 10:00),
용역,20200525604-00,일반,2020 국제전기자동차 엑스포 충북홍보관 설치 및 운영 용역,재단법인충북테크노파크,재단법인충북테크노파크,제한(총액)협상에의한계약,2020/05/20 18:15(2020/06/03 17:00),
용역,20200525603-00,일반,(긴급)울산광역시 시내버스 노선체계 개편방안 수립 용역(재공고),울산광역시,울산광역시,일반(총액)협상에의한계약,2020/05/20 18:15(2020/06/01 17:00),
용역,20200525600-00,일반,2020 들썩들썩 인 대전 사업 운영,재단법인 대전문화재단,재단법인 대전문화재단,제한(총액)협상에의한계약,2020/05/20 18:13(2020/06/01 17:00),
용역,20200525592-00,일반,충주 법현산업단지 조성사업 특수목적법인 설립 및 출자타당성 검토용역,충청북도 충주시,충청북도 충주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:12(2020/05/26 10:00),
용역,20200525597-00,긴급,충북콘텐츠코리아랩 넥스트 스타트업 챌린지 운영 용역,재단법인충청북도지식산업진흥원,재단법인충청북도지식산업진흥원,제한(총액)협상에의한계약,2020/05/20 18:12(-),
용역,20200525146-00,긴급,제13회 정남진 장흥 물축제 행사대행용역,조달청,전라남도 장흥군,일반(총액)협상에의한계약,2020/05/20 18:12(2020/06/05 10:00),
용역,20200525579-00,일반,가평군 청평 설악 하수관로 정비사업 기본 및 실시설계,한국환경공단,한국환경공단,일반경쟁,2020/05/20 18:12(2020/06/11 12:00),
용역,20200525584-00,일반,대가야관광 순환도로 정비사업 폐기물 처리용역,경상북도 고령군,경상북도 고령군,제한(총액),2020/05/20 18:11(2020/05/28 10:00),
용역,20200521537-00,일반,제17회 추억의 충장축제 대행용역,조달청,광주광역시 동구,일반(총액)협상에의한계약,2020/05/20 18:10(2020/06/11 10:00),
용역,20200525511-00,일반,2020년 동부지사 지정폐기물(석면) 처리용역,서울에너지공사,서울에너지공사,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:09(2020/05/26 10:00),
용역,20200525434-00,긴급,2020년 제1차 범정부 정보자원 통합구축사업 HW3,조달청,행정안전부 국가정보자원관리원,일반(총액)협상에의한계약,2020/05/20 18:08(2020/06/02 10:00),
용역,20200525560-00,일반,주덕읍(중로1-주덕3호선) 도시계획도로개설공사 폐기물처리용역,충청북도 충주시,충청북도 충주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:07(2020/05/26 10:00),
용역,20200525568-00,일반,포장 개선공사 건설폐기물처리 용역,서울특별시강동교육청 배재중학교,서울특별시강동교육청 배재중학교,제한(총액),2020/05/20 18:07(2020/05/29 10:00),
용역,2020-0246-00,일반,인천국제공항 T1전면고가교량 재포장공사 설계용역,인천국제공항공사,인천국제공항공사,일반경쟁,2020/05/20 18:07(2020/05/28 14:00),
용역,20200525565-00,일반,항공분야 지능형교통체계(ITS) 2030 계획 수립방안 연구,국토교통부,국토교통부,일반(총액)협상에의한계약,2020/05/20 18:06(2020/06/30 10:00),
용역,20200525566-00,긴급,2020년 거제대교 정밀안전진단 용역,경상남도 거제시,경상남도 거제시,제한경쟁,2020/05/20 18:06(2020/05/27 10:00),
용역,20200525001-01,취소,2020년 상반기 도로교량 정기안전점검,전라남도 보성군,전라남도 보성군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:05(2020/05/27 16:00),
용역,20200525548-00,일반,용현면 행정복지센터 주차장 확장사업 건설폐기물 처리용역,경상남도 사천시,경상남도 사천시,수의(단가)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:03(2020/05/27 10:00),
용역,20200519353-01,변경,서울마포우체국 승강기 종합유지관리 업체 선정,(재)우체국시설관리단,(재)우체국시설관리단,제한(총액),2020/05/20 18:02(2020/05/27 12:00),
용역,20200525392-00,일반,금마면사무소 옆길~서동공원간 도시관리계획(변경) 결정용역,전라북도 익산시,전라북도 익산시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:02(2020/05/26 14:00),
용역,20200524471-00,긴급,음식 및 스토리마켓 설계용역 설계공모,전라북도 순창군 미생물산업사업소,전라북도 순창군 미생물산업사업소,일반경쟁,2020/05/20 18:02(-),
용역,20200525528-00,긴급,[긴급]수산초중 외 1교 본관보수 및 사택 보수공사 설계용역,충청북도교육청 충청북도제천교육지원청,충청북도교육청 충청북도제천교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:00(2020/05/26 10:00),
용역,20200524459-00,일반,의정부공고 기계화공동 화장실개선공사 설계용역,경기도교육청 경기도의정부교육지원청,경기도교육청 경기도의정부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 18:00(2020/05/26 10:00),
용역,20200523275-00,일반,2020 전문종사자 양성사업 교육기획 및 운영관리 대행 용역,조달청 서울지방조달청,(재)예술경영지원센터,제한(총액)협상에의한계약,2020/05/20 17:59(2020/06/03 10:00),
용역,20200525547-00,일반,중랑천 생태환경 개선 및 준설방안 마련을 위한 하상분석 용역(장기계속),서울특별시,서울특별시,일반경쟁,2020/05/20 17:59(2020/06/23 12:00),
용역,20200525011-01,취소,항공분야 지능형교통체계(ITS) 2030 계획 수립방안 연구,국토교통부,국토교통부,일반(총액)협상에의한계약,2020/05/20 17:59(2020/06/30 10:00),
용역,20200523939-00,긴급,국도5호선 춘천 사북 원평9지구 낙석산사태 정비공사 폐기물처리용역,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한(총액),2020/05/20 17:58(2020/05/26 10:00),
용역,20200523212-01,변경,경기중소기업 성장지원센터(구 청사) 내진보강설계 기술용역,중소벤처기업부 경기지방중소벤처기업청,중소벤처기업부 경기지방중소벤처기업청,수의(총액)소액수의,2020/05/20 17:57(2020/05/27 10:00),
용역,20200523938-00,긴급,홍천국토 남부권역 보수공사 실시설계용역,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한경쟁,2020/05/20 17:57(2020/05/26 10:00),
용역,E082000259-00,일반,[동해] 2020년도 소각대상 사업장폐기물 위탁처리용역 연간단가계약,한국동서발전주식회사,총무기획부,일반(총액),2020/05/20 17:57(2020/05/29 10:00),
용역,20200525527-00,일반,고양도시관리공사 건축시설물 정기안전점검 입찰공고,고양도시관리공사,고양도시관리공사,제한경쟁,2020/05/20 17:56(2020/05/28 10:00),
용역,20200523937-00,긴급,홍천국토 북부권역 보수공사 실시설계용역,국토교통부 원주지방국토관리청 홍천국토관리사무소,국토교통부 원주지방국토관리청 홍천국토관리사무소,제한경쟁,2020/05/20 17:56(2020/05/26 10:00),
용역,20200522817-00,일반,청년 노동자 통장 신규모집 콜센터 운영,조달청 인천지방조달청,재단법인 경기복지재단,제한(총액),2020/05/20 17:54(2020/05/28 10:00),
용역,20200525520-00,일반,서울 스마트 모빌리티 적용 기본구상 연구,재단법인 서울관광재단,재단법인 서울관광재단,제한(총액)협상에의한계약,2020/05/20 17:54(2020/06/10 11:00),
용역,20200523311-00,일반,국립태안해양유물전시관 상설전시실 무인정보단말기(키오스크) 콘텐츠 제작설치,조달청 광주지방조달청,문화재청 국립해양문화재연구소,제한(총액)협상에의한계약,2020/05/20 17:53(2020/06/03 10:00),
용역,20200518997-01,취소,2020년 화성시 지능형교통체계(ITS) 구축사업 사업관리 용역,조달청 인천지방조달청,경기도 화성시,제한(총액),2020/05/20 17:53(2020/05/29 10:00),
용역,20200525155-01,취소,양양군 청사 실내인테리어사업,강원도 양양군,강원도 양양군,제한(총액)협상에의한계약,2020/05/20 17:53(-),
용역,20200525514-00,긴급,Y밸리 보행환경 기본 및 실시설계 용역,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/20 17:53(2020/06/02 17:00),
용역,20200525512-00,일반,가평군 현리산유 하수관로 정비사업 기본 및 실시설계,한국환경공단,한국환경공단,일반경쟁,2020/05/20 17:53(2020/06/10 12:00),
용역,20200525245-00,긴급,장림에이스밀 임대공장 위탁관리용역,부산도시공사,부산도시공사,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:50(2020/05/25 10:00),
용역,20200522231-01,취소,경북 스마트팜혁신밸리조성사업 건설폐기물(가연성) 운반처리용역,한국농어촌공사 경북지역본부,한국농어촌공사 경북지역본부,제한(총액),2020/05/20 17:50(2020/05/28 10:00),
용역,2020-0245-00,일반,토양오염물질 위해성평가 사후모니터링용역(2기),인천국제공항공사,인천국제공항공사,일반(총액),2020/05/20 17:50(2020/05/28 16:00),
용역,20200525489-00,긴급,산림복구 및 자연장지 조성공사 임목폐기물 처리용역(긴급),인천광역시 종합건설본부,인천광역시 종합건설본부,제한(총액),2020/05/20 17:48(2020/05/26 10:00),
용역,20200524084-00,일반,연신초 외 1교 교내 보차도분리공사 설계용역,부산광역시교육청 부산광역시동래교육지원청,부산광역시교육청 부산광역시동래교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:48(2020/05/26 10:00),
용역,20200525268-00,일반,영주제일고등학교 전기간선 교체 및 경기장 조명설치 공사 감리용역,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:48(2020/05/26 10:00),
용역,20200524146-00,일반,구서초병설유치원 외 7교 교내 보차도분리공사 설계용역,부산광역시교육청 부산광역시동래교육지원청,부산광역시교육청 부산광역시동래교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:47(2020/05/26 10:00),
용역,20200525486-00,긴급,석적상수도(포남일원) 급수구역 확장공사 건설폐기물 처리용역,경상북도 칠곡군 수도사업소,경상북도 칠곡군 수도사업소,제한(총액),2020/05/20 17:47(2020/05/25 10:00),
용역,20200525231-00,일반,영주여자고등학교 냉난방시설개선 기계설비공사 설계용역,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:45(2020/05/26 10:00),
용역,20200525475-00,일반,고객센터 전산시스템 재구축,신용보증기금,신용보증기금,제한(총액)협상에의한계약,2020/05/20 17:44(-),
용역,20200525389-01,변경,몽골 관광교육 종합센터 건립사업 건설사업관리(재공고),한국관광공사,한국관광공사,실적,2020/05/20 17:43(2020/06/11 14:00),
용역,20200525215-00,일반,영주여자고등학교 냉난방시설개선 전기공사 설계용역,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:42(2020/05/26 10:00),
용역,20200523362-00,긴급,2020년 제1차 범정부 정보자원 통합구축사업 HW4,조달청,행정안전부 국가정보자원관리원,일반(총액)협상에의한계약,2020/05/20 17:42(2020/06/02 10:00),
용역,20200525025-01,취소,Y밸리 보행환경 기본 및 실시설계 용역,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/20 17:41(2020/06/02 17:00),
용역,20200525465-00,일반,동읍5지구 과실전문생산단지 기반조성사업 폐기물처리용역,한국농어촌공사 경남지역본부 창원지사,한국농어촌공사 경남지역본부 창원지사,제한(총액),2020/05/20 17:41(2020/05/28 10:00),
용역,20200524353-00,긴급,2020년 교통약자를 위한 버스정보시스템 보강구축 사업,조달청,제주특별자치도,제한(총액)협상에의한계약,2020/05/20 17:40(2020/06/23 10:00),
용역,20200525093-00,일반,2020년 재난 예보·경보 정보시스템 유지관리,조달청,행정안전부,수의(총액),2020/05/20 17:40(2020/05/27 12:00),
용역,20200525198-00,일반,청송고등학교 본관 내진보강공사 구조설계용역,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:40(2020/05/26 10:00),
용역,20200525463-00,긴급,강수예측자료 제공시스템 기능 개선,환경부 한강홍수통제소,환경부 한강홍수통제소,일반(총액)협상에의한계약,2020/05/20 17:39(2020/06/01 10:00),
용역,20200524939-00,일반,삼척시 기초조사정보체계 구축,조달청,강원도 삼척시,수의(총액),2020/05/20 17:39(2020/05/27 12:00),
용역,20200525433-00,일반,교항지구 수리시설개보수사업 폐기물처리용역,한국농어촌공사 전북지역본부 익산지사,한국농어촌공사 전북지역본부 익산지사,제한(총액),2020/05/20 17:38(2020/05/28 10:00),
용역,20200525138-00,긴급,국도13호선 강진 월평1교 등 3개소 시설물 보수공사 폐기물처리용역,국토교통부 익산지방국토관리청 광주국토관리사무소,국토교통부 익산지방국토관리청 광주국토관리사무소,수의(총액)소액수의,2020/05/20 17:38(2020/05/26 10:00),
용역,20200525183-00,일반,북후중학교 본관 내진보강공사 구조설계용역,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:37(2020/05/26 10:00),
용역,20200525447-00,일반,20년도 해저낙하물 수거 용역,국방과학연구소제5기술연구본부,국방과학연구소제5기술연구본부,제한(총액),2020/05/20 17:36(2020/05/26 10:00),
용역,20200523797-00,일반,2020년 중요기록물 DB구축 및 정리사업,조달청 대구지방조달청,대구광역시 중구,제한(총액)협상에의한계약,2020/05/20 17:36(2020/06/10 10:00),
용역,20200525213-00,긴급,2020년 우리마을가게 상권분석서비스 고도화,조달청 서울지방조달청,서울신용보증재단,제한(총액)협상에의한계약,2020/05/20 17:33(2020/06/02 10:00),
용역,20200525250-01,변경,정선군 덕송여량북평 통합정수장 기본 및 실시설계용역,강원도 정선군 상하수도사업소,강원도 정선군 상하수도사업소,수의계약,2020/05/20 17:30(-),
용역,9222705-00,일반,[기술자보유제한]가야선 주령제2터널외 6개소 배수펌프 및 환기설비 위탁관리용역(총체및1차)(긴급),한국철도공사,한국철도공사,제한(단가),2020/05/20 17:30(2020/05/26 10:00),
용역,U20S042000-02,일반,신한울 직원사택 부지 지적확정 측량용역,한국수력원자력주식회사,한국수력원자력(주) 한울원자력본부,일반(총액),2020/05/20 17:30(2020/06/01 13:00),
용역,20200525428-00,일반,다중이용시설 실내공기품질 통합 관리시스템 시작품 개발 및 구축,한국건설기술연구원,한국건설기술연구원,제한(총액)협상에의한계약,2020/05/20 17:29(2020/06/01 11:00),
용역,20200525420-00,일반,세종시 조치원배수분구 도시침수 예방사업 기본 및 실시설계,한국환경공단,한국환경공단,일반경쟁,2020/05/20 17:29(2020/06/24 12:00),
용역,20200525298-00,긴급,동해시 국가정보통신서비스 사업자 선정,강원도 동해시,강원도 동해시,일반(총액)협상에의한계약,2020/05/20 17:26(-),
용역,20200524315-00,일반,"지하철 승강편의시설 토목건축공사 건설폐기물처리 용역(3-3공구, 3-4공구)",서울교통공사,서울교통공사,제한(총액),2020/05/20 17:25(2020/05/28 10:00),
용역,20200519609-00,일반,성주2일반산업단지 연결도로사업 폐기물처리용역,경상북도 성주군,경상북도 성주군,제한(총액),2020/05/20 17:23(2020/05/28 10:00),
용역,20200524900-01,취소,중앙도서관 석면해체 및 제거공사 감리용역,강원대학교,강원대학교,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:23(2020/05/26 10:00),
용역,20200509378-01,취소,몽골 관광교육 종합센터 건립사업 건설사업관리,한국관광공사,한국관광공사,실적,2020/05/20 17:23(2020/06/02 14:00),
용역,20200525390-00,일반,중소벤처기업지원 성과향상을 위한 경영성과 및 구조개선 진단모듈 개발 연구용역,중소벤처기업진흥공단,중소벤처기업진흥공단,제한(총액)협상에의한계약,2020/05/20 17:22(2020/06/01 10:00),
용역,20200525391-00,일반,퇴계원면사무소 진입도로(중2-22호) 확장공사 폐기물처리용역,경기도 남양주시,경기도 남양주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:22(2020/05/26 10:00),
용역,20200525406-00,일반,2020 인생나눔교실 [삼삼오오 인생나눔활동] 운영 위탁 및 평가용역,(재)충북문화재단,(재)충북문화재단,제한(총액)협상에의한계약,2020/05/20 17:20(-),
용역,20200523929-00,일반,2020년 디지털문화유산 콘텐츠 제작 및 보급용역(이동형 디지털문화유산 체험관 전시콘텐츠),조달청,문화재청,제한(총액)협상에의한계약,2020/05/20 17:20(2020/06/16 10:00),
용역,20200525398-00,일반,URI-T 천해테스트 선박 임차 및 지원 용역,한국해양과학기술원,한국해양과학기술원,제한(총액)협상에의한계약,2020/05/20 17:18(2020/06/01 10:00),
용역,20200525393-00,일반,경기도사이버도서관 내 생애 첫 독서육아 동영상 제작 용역,재단법인경기문화재단,재단법인경기문화재단,일반(총액)협상에의한계약,2020/05/20 17:17(-),
용역,20200521712-01,취소,세종시 조치원배수분구 도시침수 예방사업 기본 및 실시설계,한국환경공단,한국환경공단,일반경쟁,2020/05/20 17:16(2020/06/19 12:00),
용역,20200525385-00,일반,산익지구 소규모농촌용수사업 전략 및 소규모환경영향평가 용역,한국농어촌공사 충북지역본부,한국농어촌공사 충북지역본부,제한경쟁,2020/05/20 17:15(2020/05/27 10:00),
용역,20200525382-00,긴급,2020년 어린이집 방문건강관리 지원사업,서울특별시,서울특별시,일반(총액)협상에의한계약,2020/05/20 17:14(2020/06/02 17:00),
용역,20200525375-00,일반,2020년 인천항 주변해역 해양폐기물 정화사업,해양환경공단,해양환경공단,제한(총액),2020/05/20 17:13(2020/05/28 10:00),
용역,20200525211-01,취소,[2권역] 용인신촌중 외 13교 2020년 배수로 청소용역,경기도용인교육청,경기도용인교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/20 17:13(2020/05/26 10:00),
